DocNum	DocEntry	id_proyecto	Validador	id_deal
29793	39537	1615	U	1625
29860	39623	1629	U	1639
31881	42377	3947	U	3543
31963	42503	3975	U	3571
32503	43241	4236	U	3836
34329	45742	4998	U	4603
34938	46629	5356	U	5499
35503	47438	5617	U	5766
62	80	5676	U	5830
36189	48384	5984	U	6153
37095	49669	6541	U	6755
38470	51669	7291	U	13384
39827	53819	8110	U	8349
39932	53814	8137	U	8978
40001	53921	8236	U	8436
40096	54049	8263	U	8462
40072	54022	8264	U	8463
40114	54085	8289	U	8483
40184	54206	8355	U	8551
40278	54328	8388	U	8580
40276	54325	8389	U	8581
40302	54386	8415	U	8611
40367	54463	8421	U	8618
40336	54419	8422	U	8619
40359	54454	8423	U	8620
40383	54494	8571	U	8648
40384	54492	8572	U	8649
40380	54487	8574	U	8651
40456	54587	8615	U	8694
40470	54602	8616	U	8695
40481	54621	8635	U	8714
40579	54768	8677	U	8757
40628	54840	8708	U	8798
40654	54884	8741	U	8872
40667	54904	8743	U	8874
40699	54949	8745	U	8876
40755	55024	8788	U	8945
40768	55040	8817	U	8949
40817	55109	8820	U	8951
40791	55070	8821	U	8952
40873	55194	8864	U	8981
40886	55212	8866	U	8983
40928	55276	8895	U	9012
40948	55318	8896	U	9013
41000	55387	8927	U	9043
41041	55442	8956	U	9072
41054	55461	8960	U	9076
41075	55490	8961	U	9077
41095	55516	8962	U	9078
41115	55541	8987	U	9104
41133	55567	8988	U	9105
41168	55615	8991	U	9108
41177	55625	9036	U	9153
41197	55654	9037	U	9154
41216	55678	9208	U	9325
41235	55700	9211	U	9328
41249	55717	9212	U	9329
41257	55727	9214	U	9331
41262	55733	9215	U	9332
41278	55752	9216	U	9333
41313	55790	9220	U	9337
41314	55791	9221	U	9338
41320	55797	9223	U	9340
41327	55805	9224	U	9341
41328	55806	9225	U	9342
41363	55845	9229	U	9346
233	262	9354	U	9512
41394	55888	9356	U	9514
41461	55982	9366	U	9524
41478	56005	9367	U	9525
41402	55899	9381	U	9535
41430	55937	9383	U	9537
41444	55963	9385	U	9539
41495	56030	9386	U	9540
41550	56109	9389	U	9543
41515	56062	9391	U	9545
41631	56215	9409	U	9561
41655	56243	9410	U	9603
41683	56289	9412	U	9605
41666	56265	9413	U	9606
41727	56351	9442	U	9610
41728	56354	9443	U	9611
41761	56395	9466	U	9665
