DocNum	DocEntry	id_proyecto	Validador	id_deal
58513	80920	21913	U	23353.0
58570	80991	21960	U	23407.0
58573	81004	21961	U	23408.0
58628	81083	22016	U	23462.0
58632	81089	22018	U	23464.0
58620	81076	22019	U	23465.0
58615	81062	22020	U	23466.0
58725	81235	22073	U	23540.0
58744	81269	22074	U	23541.0
58830	81411	22095	U	23602.0
58805	81359	22139	U	23647.0
58825	81391	22141	U	23649.0
58814	81371	22142	U	23650.0
58874	81476	22204	U	23747.0
58906	81526	22265	U	23821.0
58940	81575	22266	U	23822.0
58958	81635	22311	U	23867.0
59088	81805	22362	U	23930.0
59089	81807	22363	U	23931.0
59076	81790	22364	U	23932.0
59120	81861	22406	U	23981.0
59180	81945	22417	U	23992.0
59118	81886	22418	U	23993.0
59181	81947	22429	U	24004.0
59191	81963	22430	U	24005.0
59207	81988	22431	U	24006.0
59221	82006	22432	U	24007.0
59293	82110	22444	U	24019.0
59305	82188	22447	U	24022.0
59389	82267	22534	U	24115.0
59381	82252	22535	U	24116.0
59405	82294	22597	U	24178.0
59429	82333	22599	U	24180.0
59410	82303	22600	U	24181.0
59542	82499	22657	U	24249.0
59551	82513	22658	U	24250.0
59499	82438	22659	U	24251.0
59529	82481	22660	U	24252.0
59594	82577	22665	U	24257.0
59565	82536	22668	U	24260.0
59582	82570	22669	U	24261.0
59603	82591	22670	U	24262.0
59761	82850	22825	U	24422.0
59769	82833	22859	C	
59782	82848	22860	C	
59796	82867	22861	C	
59802	82876	22862	C	
59812	82903	22863	C	
59790	82877	22864	C	
