DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
6271	9462	19392	U	20098.0
213287	267955	19987	U	21050.0
213355	267865	20025	U	21089.0
213651	267763	20092	C	
213666	267779	20093	C	
213674	267789	20094	C	
213694	267814	20095	C	
213716	267841	20096	C	
213718	267843	20097	C	
213719	267844	20098	C	
213730	267859	20099	C	
213749	267880	20100	C	
213758	267891	20101	C	
213760	267896	20102	C	
213769	267906	20103	C	
213772	267909	20104	C	
213784	267925	20105	C	
213785	267926	20106	C	
213664	267970	20107	C	
213688	267806	20108	C	
213695	267829	20109	C	
213765	267918	20110	C	
