DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
213769	267906	20103	U	21185.0
213695	267829	20109	U	21191.0
213861	268104	20145	U	21229.0
214010	268190	20178	C	
214016	268198	20179	C	
214045	268231	20180	C	
214046	268232	20181	C	
214047	268233	20182	C	
214058	268248	20183	C	
214065	268256	20184	C	
214081	268273	20185	C	
214120	268323	20186	C	
214126	268330	20187	C	
214156	268369	20188	C	
214163	268379	20189	C	
214169	268386	20190	C	
214014	268196	20191	C	
214055	268246	20192	C	
214075	268274	20193	C	
214085	268289	20194	C	
214137	268352	20195	C	
214031	268240	20196	C	
