DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
215594	272212	20686	U	21801.0
216785	271613	20956	U	22097.0
216905	271766	20968	U	22109.0
217231	272171	21138	C	
217250	272196	21139	C	
217272	272225	21140	C	
217273	272226	21141	C	
217280	272235	21142	C	
217282	272237	21143	C	
217286	272242	21144	C	
217299	272258	21145	C	
217301	272261	21146	C	
217306	272266	21147	C	
217332	272306	21148	C	
217338	272312	21149	C	
217342	272316	21150	C	
217253	272201	21151	C	
217294	272253	21152	C	
217351	272329	21153	C	
217308	272304	21154	C	
