DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
212158	266010	19676	U	20727.0
212531	266455	19762	C	
212566	266494	19763	C	
212573	266502	19764	C	
212585	266515	19765	C	
212590	266522	19766	C	
212602	266535	19767	C	
212607	266540	19768	C	
211820	266387	19769	C	
211827	266401	19770	C	
211828	266402	19771	C	
211829	266406	19772	C	
211830	266407	19773	C	
211833	266409	19774	C	
212511	266433	19775	C	
212581	266511	19776	C	
211825	266393	19777	C	
211823	266450	19778	C	
