DocNum	DocEntry	id_proyecto	Validador	id_deal
58292	80588	21759	U	23180.0
58324	80628	21760	U	23181.0
58330	80638	21761	U	23182.0
58443	80801	21852	U	23280.0
58481	80863	21909	U	23349.0
58489	80861	21910	U	23350.0
58495	80871	21911	U	23351.0
58508	80897	21912	U	23352.0
58477	80847	21914	U	23354.0
58968	81618	22309	U	23865.0
59206	81984	22428	U	24003.0
59308	82131	22441	U	24016.0
59310	82135	22442	U	24017.0
59311	82136	22443	U	24018.0
59294	82114	22445	U	24020.0
59358	82213	22531	U	24112.0
59414	82308	22595	U	24176.0
59533	82487	22655	U	24247.0
59537	82494	22656	U	24248.0
59560	82528	22661	U	24253.0
59580	82555	22663	U	24255.0
59660	82669	22754	C	
59677	82693	22755	C	
59665	82677	22756	C	
59706	82740	22757	C	
59672	82701	22758	C	
59687	82715	22759	C	
