DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
215113	269536	20514	U	21618.0
215124	269549	20545	C	
215125	269550	20546	C	
215132	269558	20547	C	
215161	269594	20548	C	
215162	269595	20549	C	
215185	269632	20550	C	
215186	269634	20551	C	
215191	269640	20552	C	
215208	269658	20553	C	
215222	269676	20554	C	
215226	269682	20555	C	
215247	269708	20556	C	
215259	269724	20557	C	
215267	269732	20558	C	
215270	269736	20559	C	
215271	269738	20560	C	
215274	269742	20561	C	
215282	269750	20562	C	
215286	269755	20563	C	
215287	269756	20564	C	
215290	269760	20565	C	
215293	269763	20566	C	
215306	269781	20567	C	
215318	269797	20568	C	
215329	269809	20569	C	
215330	269810	20570	C	
215149	269583	20571	C	
215213	269667	20572	C	
215328	269819	20573	C	
215236	269703	20574	C	
