DocNum	DocEntry	id_proyecto	Validador	id_deal
56886	78492	20390	U	21485.0
56906	78521	20392	U	21487.0
56907	78519	20393	U	21488.0
56949	78586	20425	U	21523.0
56921	78543	20426	U	21524.0
56934	78564	20427	U	21525.0
56952	78592	20428	U	21526.0
56927	78554	20429	U	21527.0
56959	78602	20453	U	21555.0
56968	78616	20455	U	21557.0
56966	78614	20456	U	21558.0
57034	78719	20507	U	21611.0
56997	78665	20508	U	21612.0
57004	78676	20509	U	21613.0
57005	78678	20510	U	21614.0
57021	78703	20511	U	21615.0
57032	78715	20512	U	21616.0
57010	78685	20513	U	21617.0
57062	78761	20540	U	21652.0
57067	78768	20542	U	21654.0
57083	78792	20543	U	21655.0
57050	78744	20544	U	21656.0
57138	78872	20605	U	21720.0
57151	78890	20666	U	21781.0
57211	78971	20720	U	21835.0
57244	79048	20724	U	21839.0
57286	79095	20758	U	21874.0
57250	79086	20759	U	21875.0
57311	79132	20772	U	21888.0
58057	80262	21495	U	22817.0
58067	80245	21539	U	22880.0
58141	80352	21590	C	
58143	80356	21591	C	
