DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
213765	267918	20110	U	21192.0
214085	268650	20194	U	21278.0
214185	268407	20239	U	21324.0
6312	9486	20350	C	
214521	268809	20351	C	
214538	268828	20352	C	
214552	268843	20353	C	
214569	268868	20354	C	
214576	268877	20355	C	
214583	268888	20356	C	
214589	268895	20357	C	
214596	268904	20358	C	
214611	268919	20359	C	
214633	268944	20360	C	
214636	268949	20361	C	
214565	268880	20362	C	
214588	268894	20363	C	
214607	268987	20364	C	
