DocNum	DocEntry	id_proyecto	Validador	id_deal
522481	680523	17025	U	17924.0
522810	681015	17064	U	17965.0
522981	681247	17072	U	17973.0
522767	681057	17074	U	17975.0
522842	681062	17076	U	17977.0
522883	681188	17079	U	17980.0
523106	681414	17104	U	18005.0
523333	681741	17129	U	18033.0
523524	682003	17162	U	18070.0
523787	682355	17173	U	18081.0
523865	682459	17185	U	18093.0
523870	682470	17186	U	18094.0
524563	683477	17260	U	18173.0
524723	683705	17273	U	18186.0
524746	683732	17279	U	18192.0
525401	684674	17324	U	18237.0
525494	684791	17328	U	18241.0
525701	685086	17361	U	18274.0
525952	685435	17410	U	18323.0
526663	686442	17499	U	18413.0
526686	686483	17515	U	18429.0
526534	686245	17529	U	18443.0
527098	687128	17579	U	18496.0
527118	687151	17581	U	18498.0
527056	687071	17595	U	18512.0
527527	687771	17659	U	18600.0
527530	687775	17660	U	18601.0
527604	687878	17665	U	18606.0
528079	688518	17716	U	18625.0
528261	691318	17763	U	18671.0
528729	689498	17783	U	18704.0
528944	689853	17801	U	18722.0
528972	690008	17812	U	18733.0
528917	689832	17816	U	18737.0
529917	699449	18002	U	19572.0
529977	691972	18009	U	19278.0
530730	692503	18119	U	19327.0
531194	693177	18180	U	19361.0
531613	693772	18256	U	19401.0
532866	695605	18396	U	19466.0
533025	695828	18404	U	19588.0
533517	696539	18484	U	19499.0
533534	696562	18486	U	19501.0
533807	696987	18507	U	19513.0
533938	697213	18535	U	19525.0
533973	697261	18537	U	19527.0
534012	697312	18539	U	19529.0
534106	697459	18543	U	19533.0
534231	697643	18551	U	19541.0
534305	697737	18588	U	19549.0
534792	698473	18643	U	19605.0
534891	698626	18648	U	19610.0
535320	699269	18749	U	20229.0
535598	699649	18761	U	20240.0
536031	700263	18850	U	20276.0
536401	700820	18903	U	20296.0
536414	700841	18904	U	20297.0
536480	700942	18907	U	20300.0
536485	701407	18908	U	20301.0
537204	704591	19026	U	20342.0
537395	702336	19080	U	20358.0
537516	702521	19090	U	20367.0
538313	704265	19161	U	20392.0
538319	703695	19163	U	20394.0
538342	703725	19165	U	20396.0
538350	703733	19166	U	20397.0
538250	703605	19174	U	20405.0
538249	703606	19178	U	20409.0
538865	704457	19233	U	20424.0
539005	704693	19264	U	20434.0
539199	704990	19275	U	20444.0
539007	704699	19282	U	20451.0
539139	705693	19284	U	20453.0
539710	705623	19321	U	20465.0
540203	706381	19412	U	20496.0
540425	706733	19419	U	20502.0
540542	706908	19448	U	20511.0
540558	706933	19454	U	20517.0
541109	707762	19523	U	20557.0
542458	709866	19705	U	20756.0
542204	709636	19712	U	20763.0
542687	710200	19737	U	20790.0
542754	710295	19745	U	20798.0
542900	710525	19782	U	20835.0
543027	710721	19795	U	20848.0
543251	711041	19845	U	20898.0
543294	711107	19846	U	20899.0
543320	711145	19847	U	20900.0
543396	711258	19852	U	20905.0
543400	711269	19853	U	20906.0
543566	711505	19892	U	20946.0
544627	713637	20059	U	21129.0
545253	714121	20121	U	21205.0
546069	715384	20211	U	21296.0
546416	715931	20278	U	21368.0
546533	716118	20307	C	
546716	716436	20329	U	21420.0
546621	716275	20338	C	
546995	716844	20369	C	
546952	717853	20384	U	21479.0
547219	717197	20411	U	21506.0
547280	717293	20417	C	
547361	717426	20418	U	21515.0
