DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
6287	9448	19974	C	
6289	9450	19975	C	
213147	267166	19976	C	
213148	267167	19977	C	
213151	267172	19978	C	
213159	267180	19979	C	
213175	267200	19980	C	
213196	267223	19981	C	
213203	267231	19982	C	
213237	267268	19983	C	
213262	267300	19984	C	
213276	267315	19985	C	
213277	267316	19986	C	
213287	267328	19987	C	
213297	267340	19988	C	
213306	267351	19989	C	
213290	267332	19990	C	
213229	267301	19991	C	
