DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
218617	274191	21507	U	22829.0
6359	9570	21545	C	
218634	273960	21546	C	
218657	273988	21547	C	
218660	273991	21548	C	
218684	274022	21549	C	
218702	274047	21550	C	
218709	274059	21551	C	
218730	274087	21552	C	
218759	274124	21553	C	
218762	274128	21554	C	
218769	274135	21555	C	
218776	274145	21556	C	
218805	274180	21557	C	
218809	274188	21558	C	
6360	9572	21559	C	
218632	273959	21560	C	
218663	274000	21561	C	
218689	274034	21562	C	
218737	274098	21563	C	
218747	274150	21564	C	
218756	274121	21565	C	
218646	274004	21566	C	
