DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
218436	273699	21496	C	
218454	273723	21497	C	
218475	273750	21498	C	
218496	273778	21499	C	
218527	273819	21500	C	
218532	273827	21501	C	
218538	273837	21502	C	
218554	273857	21503	C	
218593	273908	21504	C	
218596	273913	21505	C	
218601	273918	21506	C	
218617	273938	21507	C	
218627	273951	21508	C	
218507	273836	21509	C	
218524	273822	21510	C	
218540	273840	21511	C	
218588	273943	21512	C	
218608	273927	21513	C	
218424	273934	21514	C	
