DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
210150	266351	19134	U	19951.0
212364	266257	19720	U	20771.0
212872	266855	19877	U	20930.0
6284	9445	19918	C	
212962	266953	19919	C	
212971	266963	19920	C	
212978	266970	19921	C	
212982	266974	19922	C	
212994	266987	19923	C	
212999	266992	19924	C	
213001	266994	19925	C	
213033	267029	19926	C	
213035	267031	19927	C	
213039	267035	19928	C	
213043	267039	19929	C	
213070	267071	19930	C	
213073	267076	19931	C	
213082	267089	19932	C	
213087	267096	19933	C	
213019	267041	19934	C	
213079	267085	19935	C	
212967	267088	19936	C	
