DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
215270	269736	20559	U	21671.0
215274	269742	20561	U	21673.0
215540	270080	20667	C	
215544	270084	20668	C	
215548	270089	20669	C	
215555	270097	20670	C	
215560	270103	20671	C	
215571	270121	20672	C	
215575	270125	20673	C	
215587	270139	20674	C	
215588	270140	20675	C	
215600	270156	20676	C	
215604	270160	20677	C	
215605	270162	20678	C	
215626	270187	20679	C	
215631	270193	20680	C	
215641	270206	20681	C	
215650	270216	20682	C	
215666	270236	20683	C	
6319	9494	20684	C	
215567	270118	20685	C	
215594	270149	20686	C	
215603	270161	20687	C	
215637	270204	20688	C	
