DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
212585	266515	19765	U	20817.0
6283	9444	19819	C	
212613	266546	19820	C	
212616	266549	19821	C	
212622	266555	19822	C	
212632	266566	19823	C	
212637	266572	19824	C	
212659	266602	19825	C	
212660	266603	19826	C	
212673	266618	19827	C	
212681	266626	19828	C	
212690	266638	19829	C	
212691	266639	19830	C	
212700	266650	19831	C	
212702	266652	19832	C	
212758	266718	19833	C	
212763	266723	19834	C	
212765	266725	19835	C	
212770	266731	19836	C	
212694	266643	19837	C	
212728	266681	19838	C	
212753	266713	19839	C	
