DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
211208	267540	19408	U	20114.0
213079	267085	19935	U	20989.0
213120	267138	19945	U	21000.0
213309	267355	20021	C	
213315	267362	20022	C	
213321	267368	20023	C	
213335	267384	20024	C	
213355	267410	20025	C	
213397	267457	20026	C	
213403	267467	20027	C	
213424	267491	20028	C	
213426	267495	20029	C	
213454	267529	20030	C	
213457	267533	20031	C	
213465	267543	20032	C	
213467	267545	20033	C	
213473	267553	20034	C	
213477	267557	20035	C	
213484	267566	20036	C	
213351	267413	20037	C	
213360	267494	20038	C	
213373	267558	20039	C	
213379	267562	20040	C	
