DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
5896	8888	13304	U	13878.0
215631	270193	20680	U	21795.0
6319	9509	20684	U	21799.0
215823	270431	20725	U	21840.0
216107	270774	20774	C	
216116	270784	20775	C	
216131	270807	20776	C	
216165	270846	20777	C	
216193	270887	20778	C	
216209	270906	20779	C	
216212	270909	20780	C	
216214	270912	20781	C	
216215	270913	20782	C	
216118	270789	20783	C	
216137	270817	20784	C	
6321	9506	20785	C	
216082	270869	20786	C	
216040	270756	20787	C	
